       t        x        y
     953 0.134294 -0.990955
     954 -0.764573 -0.665850
     955 -1.033257 0.155073
     956 -0.485116 0.877064
     957 0.474202 0.882788
     958 1.031268 0.165721
     959 0.772778 -0.657227
     960 -0.121993 -0.992540
     961 -0.911618 -0.474273
     962 -0.965348 0.371835
     963 -0.246639 0.969266
     964 0.683920 0.741757
     965 1.045366 -0.056312
     966 0.582297 -0.818782
     967 -0.370330 -0.929740
     968 -1.006693 -0.263281
     969 -0.843344 0.574403
     970 0.007796 0.999970
     971 0.852208 0.562712
     972 1.002485 -0.276440
     973 0.355790 -0.935277
     974 -0.594995 -0.810125
     975 -1.046139 -0.042821
     976 -0.672279 0.751538
     977 0.261721 0.965346
     978 0.971046 0.358989
     979 0.904128 -0.486562
     980 0.106504 -0.994318
     981 -0.782940 -0.646286
     982 -1.028580 0.179087
     983 -0.460384 0.889811
     984 0.498734 0.869700
     985 1.035570 0.141672
     986 0.754108 -0.676584
     987 -0.149728 -0.988748
     988 -0.924584 -0.452032
     989 -0.954618 0.394768
     990 -0.219413 0.975731
     991 0.704435 0.723847
     992 1.043450 -0.080518
     993 0.559162 -0.833906
     994 -0.396212 -0.919271
     995 -1.013731 -0.239571
